diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,likes,comments,views,bud_dry_weight,bud_wet_weight
Kings Tart,Kings Tart,Green House Seed Co.,475 watt,"Canna,",Hydroponics,"Clay pebbles Grow Medium,",Paper Towel,"Topping,Defoliation,ScrOG,",1.2,14,1,21,17,692,,652.04
Conscious Genetics Kush V3,Conscious Genetics Kush V3,Custom Breeder & Strain,160 watt,"Hesi,",Manual,"Soil Grow Medium,",Paper Towel,,Custom,13,1,16,5,158,,82
BSF Star Players Zkittlez X Zkittlez,Rainbows,BSF Seeds,340 watt,"Canna,Hesi,Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,,Custom,14,3,30,2,109,,153
West coast og nft grow,West Coast O.G. Auto,Fast Buds,120 watt,"Growth Technology,",Hydroponics,,,"Defoliation,",,9,,14,5,265,,
1st grow,Watermelon Candy Automatic,Zamnesia Seeds,150 watt,"Grotek,Atami,Advanced Hydroponics of Holland,BioBizz,PLAGRON.,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,0.64,12,1,13,12,334,,117
Experiment #004 - Annie 2L,Auto Anesthesia,Pyramid Seeds,200 watt,"Canna,Platinium Hydroponics,General Hydroponics (GHE),BioBizz,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"Defoliation,LST,",0.36,13,,23,8,162,,
Experiment #002 - Anastasia 2L,Auto Anesthesia,Pyramid Seeds,200 watt,"Canna,Platinium Hydroponics,General Hydroponics (GHE),BioBizz,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,Expanded Clay Grow Medium,",Directly In Substrate,"Topping,Defoliation,LST,",0.36,13,,17,7,99,,
Breed Bros - Mystikal Lemon,Mystikal Lemon,Custom Breeder & Strain,200 watt,"BioBizz,Bio Green,Green House Feeding,PLAGRON.,",Manual,"BioBizz AllMix Grow Medium,",Paper Towel,"LST,Defoliation,",,12,,32,7,826,,58
Experiment #001 - Tangie D 2L,Tangerine Dream Auto,Barney'S Farm,200 watt,"BioBizz,Platinium Hydroponics,Canna,Guanokalong,General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,0.36,14,1,27,13,379,,
Red Super Skunk Auto - aeroponics,red super skunk auto,Custom Breeder & Strain,200 watt,"Xtreme Gardening,General Hydroponics (GHE),Advanced Nutrients,",Aeroponics,"Expanded Clay Grow Medium,",Peat Pellet,,1.22,12,1,13,9,147,155.92,850.49
Jelly Breath S1 (In-House Genetics),Jelly Breath S1,In House Genetics,310 watt,"Canna,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Defoliation,LST,",,21,1,99,29,862,,
Bobs Buds Round 1,Toof Decay,Mephisto Genetics,"LED / 250W,LED / 250W,","Botanicare,Advanced Nutrients,Xtreme Gardening,",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),mother earth Grow Medium,",Paper Towel,"HST,LST,",,FLOWERING,,25,16,514,,
Zkittlez - Seeds Mafia,Zkittlez - Seeds Mafia,Custom Breeder & Strain,150 watt,,Manual,,,,,12,1,19,6,78,,140
Wedding glue(fast buds),Wedding Glue Auto,Fast Buds,400 watt,"B.A.C.,Advanced Nutrients,Top Crop,General Hydroponics (GHE),PLAGRON.,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,Altro Grow Medium,",,"LST,Topping,Defoliation,",1,11,100,46,11,366,,
Blackberry Moon Rocks,Blackberry Moonrocks - Expert Seeds,Custom Breeder & Strain,180 watt,"Xtreme Gardening,General Hydroponics (GHE),Advanced Nutrients,",Aeroponics,"H20 Grow Medium,",Peat Pellet,,1.22,14,1,36,17,516,,708.74
Wolne Konopie - John Lemon,John Lemon,Custom Breeder & Strain,200 watt,"BioBizz,Bio Green,Green House Feeding,PLAGRON.,",Manual,"BioBizz AllMixx Grow Medium,",Paper Towel,"LST,HST,Defoliation,",,12,49,53,11,242,,
The Hadeda Club 22' Winter Edition,Wedding Cake,Custom Breeder & Strain,,,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,16,3,27,15,1237,,1200
grand master sexy Exotic Genetix out doo,grand master sexy,Custom Breeder & Strain,,,Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,"LST,HST,Defoliation,",,8,2,6,5,157,,150
Fastbuds Tester Grow,Purple Lemonade Auto,Fast Buds,480 watt,"BioBizz,Biodyne,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Coco Coir Grow Medium,Worm Castings Grow Medium,",,"LST,Defoliation,Love,",Custom,10,,21,4,432,,
Mini Gelato grow,Gelato,Custom Breeder & Strain,,"Fox Farm,",Manual,"Soil Grow Medium,",Paper Towel,"LST,Topping,",Custom,FLOWERING,,17,12,1406,,
Cabinet / Tin Foil / Speed+ Auto,+ Speed Auto®,Sweet Seeds,100 watt,,Manual,"Vermiculite Grow Medium,Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",0.45,9,2,6,5,287,140,
Hokus Pokus,Sweet Skunk Auto®,Sweet Seeds,"LED / 100W P1000,LED / 8W Custom,","BioBizz,",Manual,"BioBizz Light Mix Grow Medium,",Peat Pellet,"12-12 From Seed,",1.5,13,5,20,8,297,,420
mignonnebananha II,Strawberry Banana Auto,Fast Buds,55 watt,"General Hydroponics (GHE),BioBizz,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",0.16,12,1,39,46,242,,530
CONTEST TEKNOGROW AUTO (GROWER EMME),Quick One,Royal Queen Seeds,200 watt,"Canna,",Hydroponics,"Expanded Clay Grow Medium,",,,Custom,8,,1,0,143,,
Cultivo en Hidroponia,Bruma Norte,Custom Breeder & Strain,800 watt,"General Hydroponics (GHE),Advanced Nutrients,Fox Farm,",Hydroponics,"Other Grow Medium,",,"LST,Topping,ScrOG,",,7,2,15,19,292,,550
Gorilla cookies,Gorilla Cookies Auto,Fast Buds,240 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,1,10,1,9,6,396,,250
Forbidden Runtz FB420 marshydro,Forbidden Runtz Auto,Fast Buds,300 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Paper Towel,"Defoliation,",1,10,4,103,35,611,,1200
Night Owl - Popesicle 1st grow,Popesicle,Night Owl Seeds,480 watt,"Coast of Maine,",Manual,"Coast of Maine - Stonington Blend Grow Medium,",Glass Of Water,,Spider Farmer,12,1,7,1,220,,136.08
Slurricane #7 S1 Pheno Hunt,Slurricane #7 S1,In House Genetics,200 watt,"Lotus Nutrients,Botanicare,General Hydroponics (GHE),Fish Head Farms,",Hydroponics,,Paper Towel,"HST,LST,Defoliation,",2.44,19,4,24,6,596,,
Fastbuds 4x2,Mimosa Cake Auto,Fast Buds,240 watt,"Dr. Earth,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"LST,Defoliation,",0.74,14,1,32,15,852,118,
The Challenger (SSSC),Purple OG Punch,Super Sativa Seed Club,300 watt,"Botanicare,Nature's Living Soil,Terpinator,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Nature's living soil Grow Medium,",Glass Of Water,"Defoliation,Super soil created in the beginning,LST,ScrOG,",0.74,15,1,91,52,272,,537
PeyForum2023,Peyote Forum,Seedsman,"LED / 150W,",,Manual,"Soil Grow Medium,",Paper Towel,"Topping,",,15,1,14,5,143,,
Sour Tangie Dawg,Sour Tangie Dawg,Super Sativa Seed Club,100 watt,"Dr. Earth,BuildASoil,",Manual,"Worm Castings Grow Medium,Perlite Grow Medium,Sphagnum Peat Moss Grow Medium,",Directly In Substrate,,9.75,17,1,45,19,194,,85.05
Mephisto-Sky Creme Smile,Skywalker x Creme de La Chem x Mango Smile,Custom Breeder & Strain,320 watt,"Advanced Nutrients,Botanicare,",Hydroponics,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"FIMing,LST,",1.16,12,1,19,3,184,120.49,477.12
GHSC auto test #2,GHSC Auto test #2,Green House Seed Co.,300 watt,"Green House Feeding,",Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Glass Of Water,,0.5,9,1,15,9,79,58,200
Strawberry cheesecake and white widow,White Widow,Crop King Seeds,"LED / 900W (×2) R900,LED / 900W (×2) R900,","Dynomyco,Gaia Green,",,"Soil Grow Medium,",Paper Towel,"Defoliation,Topping,LST,",,VEGETATION,,56,6,1181,,
2nd child Kosher cake auto fastbuds,Kosher Cake Auto,Fast Buds,150 watt,"Advanced Nutrients,",Manual,"Perlite Grow Medium,peat Grow Medium,",,"LST,Defoliation,",0.35,13,1,19,4,241,79,320
Indoor CBD grow,Raspberry cheesecake,Custom Breeder & Strain,310 watt,"Gaia Green,Dynomyco,",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Soil Grow Medium,",Glass Of Water,"Topping,Defoliation,Main-Lining,LST,",0.84,15,2,19,11,266,,2267.96
40gallon living soil (Mephisto),Heisenberg Special,Mephisto Genetics,,,Manual,"Peat moss Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,Composted manure Grow Medium,Worm castings Grow Medium,Lava rocks Grow Medium,Homemade charcoal,ashes rocks and twigs from compost bin Grow Medium,",Directly In Substrate,"LST,Defoliation,",Custom,FLOWERING,,10,3,259,,
finally added photontek as a manufaturer,Fugue State,Mephisto Genetics,310 watt,,Manual,"Soil Grow Medium,",,,Custom,0,,2,0,48,,
Golden State Amnesia Auto By Caligen,Golden State Amnesia Auto,Caligen,200 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",,"LST,",,9,1,1,0,36,86,86
My 1st grow,Blue Cheese Automatic,Royal Queen Seeds,95 watt,,Manual,,,"LST,Defoliation,",0.4,10,1,9,1,164,,220
Tutankhamon [2022],Tutankhamon,Pyramid Seeds,,,Manual,"Soil Grow Medium,",Other,"ScrOG,Defoliation,LST,",,20,1,0,2,187,,2000
Desfrán for spring,Desfrán,Dutch Passion,412 watt,"BioBizz,",Manual,"Biobizz - Lightmix Grow Medium,",,,0.4,14,3,22,25,386,,941.07
Chocolate Haze for spring !,Chocolate Haze,Royal Queen Seeds,412 watt,"BioBizz,",Manual,"Soil Grow Medium,",Directly In Substrate,,0.57,14,4,25,13,545,,1178.1
Medusa F1 - Farm #12,Medusa F1,Royal Queen Seeds,174 watt,"RQS Organic Nutrients,PLAGRON.,",Manual,"Soil Grow Medium,",Directly In Substrate,,0.72,8,2,137,52,2510,116,
Zamnesia X,X (10th anniversary),Zamnesia Seeds,600 watt,"PLAGRON.,",Manual,"Soil Grow Medium,",Paper Towel,"Topping,Defoliation,",1.5,12,4,15,3,224,,
"Trips, Spiders, Fly Insects",All,Custom Breeder & Strain,200 watt,,Manual,"Soil Grow Medium,",Other,,1,1,1,17,7,59,,1
Mr green/keen,Cookies Gelato,Royal Queen Seeds,150 watt,"Advanced Nutrients,Real Growers,",Manual,,,"Topping,Defoliation,ScrOG,",,14,,19,4,350,,
CBD 20: 1,CBD Auto 20:1,Fast Buds,240 watt,,Manual,"Soil Grow Medium,",Other,"LST,",1.22,13,1,49,38,410,61.35,346
First 4x2,Auto monster mass,Custom Breeder & Strain,200 watt,"Advanced Nutrients,GreenGro,Fox Farm,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"FIMing,LST,Defoliation,Lollipop,Lollipoping,",,16,,3,1,180,,1.21
Don Mega clone,Don mega,Custom Breeder & Strain,200 watt,"Advanced Nutrients,GreenGro,Fox Farm,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"Topping,Lollypopping,Defoliation,",,11,,19,4,215,,0.75
Cultivo de interior de geckoseeds,Amnesia Dream XL Auto,Kannabia Seed Company,100 watt,,Manual,"Soil Grow Medium,",Paper Towel,"SoG,ScrOG,Topping,",1,13,3,25,7,247,,150
Auto night queen,Auto Night Queen,Dutch Passion,150 watt,,Manual,"Soil Grow Medium,",Paper Towel,,4.88,10,1,6,3,144,,99.22
Critical + 2.0 Auto seedsman by Grangl,Critical+ 2.0 Auto Ltd. Edition,Seedsman,150 watt,"Mammoth Microbes,Real Growers,Fish Head Farms,",Manual,"FOX FARMS Grow Medium,Big Rootz Grow Medium,",,,,10,1,13,7,396,,
Bagseed,bagseed,Custom Breeder & Strain,640 watt,,Manual,,,,,6,,1,0,26,,
FBT2304 x3,FBT2304,Fast Buds,1000 watt,,Manual,"Soil Grow Medium,",,,,11,,4,3,98,,
FBT2303 x3,FBT2303,Fast Buds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,Main-Lining,",,11,,3,1,77,,
Ghost Train Haze #1,Ghost Train Haze #1,Rare Dankness,"LED / 0W X420 Targeted,LED / 0W X420 Targeted,","Advanced Nutrients,",Manual,"AC Infinity Cloudlab 743D Advance Grow Tent 4x3 (48"" X 36"" X 72""),Pro-Mix Organic Grow Medium,",Peat Pellet,"Defoliation,LST,",34.45,12,1,9,18,412,158.76,28.35
FBT2302 x3,FBT2302,Fast Buds,1000 watt,,Manual,"Soil Grow Medium,",,,,11,,3,3,63,,
FBT2301 x3,FBT2301,Fast Buds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,10,,3,3,85,,
Strawberry Pie Auto x3,Strawberry Pie Auto,Fast Buds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,16,4,220,,
Lebron haze BFS,Lebron Haze,BSF Seeds,"LED / 150W Mars TS 1000,LED / 310W Mars TSW 2000,","Bio Tabs,",Manual,"Soil Grow Medium,",Glass Of Water,"Topping,Defoliation,SoG,FIMing,",,FLOWERING,,43,10,3380,,
Gorilla Glue Auto 1_*,Cannapio Gorilla glue,Custom Breeder & Strain,600 watt,"PLAGRON.,Advanced Nutrients,Vitalink,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,ScrOG,",6,10,5,3,2,176,,110
Strawberry Cake Auto x3,Strawberry Cake Auto,Ganja Farmer Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,26,6,153,,
Gorilla GG4 Auto x3,Gorilla GG4 Auto,Ganja Farmer Seeds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,8,4,189,,
Dream Queen Auto x4,Dream Queen Autoflower,Humboldt Seed Company,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,1,1,147,,
All Gas OG Auto x4,All Gas OG Autoflower,Humboldt Seed Company,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,7,6,264,,
Skywalker OG Auto x5,Skywalker OG Auto,Barney'S Farm,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,4,1,309,,
Mango Sherbet Auto x5,Mango Sherbert Autoflower,Humboldt Seed Company,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,4,1,183,,
Strawberry Cheesecake Auto x5,Strawberry Cheesecake Auto,Barney'S Farm,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,11,,10,11,500,,
Fast buds og kush auto,OG Kush Auto,Fast Buds,2000 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,,,9,1,10,3,180,,119.92
Plant of the Grapes,Planet Of The Grapes,ETHOS Genetics,"LED / 0W X420 Targeted,LED / 0W X420 Targeted,","Advanced Nutrients,Nature's Living Soil,",Manual,"AC Infinity Cloudlab 743D Advance Grow Tent 4x3 (48"" X 36"" X 72""),Pro- mix organic Grow Medium,",Peat Pellet,"Topping,LST,HST,Defoliation,",3.2,12,1,32,8,527,66.34,28.35
White Widow XXL Auto x5,White Widow XXL Auto,Barney'S Farm,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,14,,6,5,291,,
Strawberry Gorilla Auto x2,Strawberry Gorilla Auto,Fast Buds,1000 watt,,Manual,"Soil Grow Medium,",,"LST,",,13,1,11,6,542,,
Gorilla punch round N2,Gorilla Punch Auto,Fast Buds,875 watt,"PLAGRON.,General Hydroponics (GHE),Advanced Nutrients,Canna,Terpinator,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,Custom,16,,8,2,355,,
Duh Bubbz McChee,Bubba Cheesecake,Seedsman,300 watt,"BuildASoil,Dr. Earth,Botanicare,",Manual,"Worm Castings Grow Medium,Sphagnum Peat Moss Grow Medium,Lava Rock Grow Medium,",Directly In Substrate,"Lollipop,Defoliation,LST,",9.75,22,1,150,44,521,,368.54
Tropicana cookies (fast buds),Tropicana Cookies Auto,Fast Buds,400 watt,"Advanced Nutrients,General Hydroponics (GHE),Top Crop,PLAGRON.,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Vermiculite Grow Medium,",Glass Of Water,"LST,Defoliation,",1.2,11,1,59,11,535,,610
Chocolate Mimosa - Captain Redbeard Seed,Captain Redbeard - Chocolate Mimosa,Custom Breeder & Strain,630 watt,"Down To Earth,BuildASoil,Xtreme Gardening,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Worm Castings Grow Medium,",Glass Of Water,"Defoliation,HST,Topping,LST,",,20,2,136,52,437,,
Animal Mint Cake Clone - Tiki Madman,Tiki Madman - Animal Mint Cake,Custom Breeder & Strain,630 watt,"Down To Earth,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,Worm Castings Grow Medium,",Rockwool Cube,"LST,HST,Topping,Defoliation,",1.22,16,2,90,43,386,,
Gorilla cookies Fast Buds,Gorilla Cookies Auto,Fast Buds,150 watt,"BioBizz,",Manual,"Biobuzz all mix Grow Medium,",Peat Pellet,"LST,",Custom,10,1,44,27,824,,
MONSTER GROW 6+ Month 8x4 Tent (3d grow),Blue Dream feminized seeds,Weedseedsexpress,"LED / 200W Custom,","Canna,PLAGRON.,Advanced Nutrients,",Hydroponics,"Mineral Wool Grow Medium,",,"HST,Topping,Main-Lining,Defoliation,LST,ScrOG,SoG,",1.44,31,1,69,21,645,,5100
OFFICIAL TEST 2301,FBT2301,Fast Buds,400 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,,0.8,10,1,12,3,105,22.4,98
Lemon Orange GHS,Lemon Orange,Green House Seed Co.,300 watt,"Agrogardens,",Manual,"Soil Grow Medium,",,"LST,ScrOG,",,4,1,7,9,141,,
Barney's Farm Wedding Cake Auto,Wedding Cake Auto,Barney'S Farm,100 watt,"Green House Feeding,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",,"LST,",,19,1,13,7,661,,
OFFICIAL TEST 2302,FBT2302,Fast Buds,400 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,,0.8,10,,13,3,57,17.33,113
OFFICIAL TEST 2303,FBT2303,Fast Buds,400 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,0.8,10,1,20,2,81,,142
LSD auto,,,,,,,,,,,,0,0,0,,
OFFICIAL TEST 2304,FBT2304,Fast Buds,400 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,,0.8,10,1,13,2,57,37.45,152
OFFICIAL TEST 2305,Ztrawberriez Auto,Fast Buds,400 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,,0.8,10,1,19,4,210,25.85,128
OFFICIAL TEST 2306,FBT2306,Fast Buds,400 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,,0.8,10,1,30,5,110,25,137
OFFICIAL TEST 2307,FBT2307,Fast Buds,400 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,,,11,1,38,8,127,45.71,224
First indoor grow led,Banana Punch,Barney'S Farm,400 watt,"Advanced Nutrients,",Manual,"Plagron lite mix Grow Medium,",Glass Of Water,"FIMing,Topping,LST,Defoliation,",,13,,52,29,622,,
6) Green House / Super Lemon Haze Auto,Super Lemon Haze Auto,Green House Seed Co.,95 watt,"General Hydroponics (GHE),",Manual,"CoolGrows GT 24x24x36,Coco Coir Grow Medium,Perlite Grow Medium,",Directly In Substrate,"LST,ScrOG,Defoliation,",0.37,18,1,83,27,1161,159.89,
Thorsberry - Captain Redbeard,Captain Redbeard - Thorsberry,Custom Breeder & Strain,630 watt,"Down To Earth,Xtreme Gardening,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Worm Castings Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,HST,",1.22,20,2,127,65,291,,
Fox genetic Royal Assent,Fox Genetic royal assent,Custom Breeder & Strain,300 watt,"Athena,",Hydroponics,"BloomGrow GT 48''X48''X78'',Expanded Clay Grow Medium,",Rockwool Cube,"LST,Defoliation,",1.22,13,1,13,9,216,,
I_Was_Born_A_Winner (GoG “Green Cush”),Green Crack,Garden Of Green,200 watt,"Botanicare,Fox Farm,",Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Topping,Defoliation,ScrOG,",2.74,14,1,24,8,221,48.5,
Purple Punch!!,Purple Punch,Canuk Seeds,600 watt,"Dynomyco,BIOCANNA,Gaia Green,",Manual,"Ocean forest Grow Medium,",Directly In Substrate,"LST,Defoliation,Transplanting,Topping,Main-Lining,",Custom,16,1,35,16,284,,92
FBT 2301,FBT2301,Fast Buds,480 watt,"PLAGRON.,Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,"Topping,LST,Defoliation,",1,10,1,36,23,452,190,720
Orange sherbet auto ( FAST BUDS),Orange Sherbet Auto,Fast Buds,400 watt,"PLAGRON.,B.A.C.,Advanced Nutrients,General Hydroponics (GHE),",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Glass Of Water,"LST,Defoliation,",1,12,1,63,15,503,,487
Amnesia x Buddha Kush,Amnesia x Buddha Kush,Vision Seeds,450 watt,,Hydroponics,,,"ScrOG,LST,Defoliation,Topping,",,15,1,23,10,213,338,338
Royal Queen Sour Diesel,Sour Diesel,Royal Queen Seeds,200 watt,"Advanced Nutrients,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Pro-mix organic Grow Medium,",,"Topping,LST,Defoliation,",,11,1,18,8,350,116.8,
9lb Hammer,9lb Hammer by Jinxproof Genetics,Custom Breeder & Strain,330 watt,"Advanced Nutrients,",Manual,"Pro-mix organic Grow Medium,",,"LST,Defoliation,",,16,1,31,6,182,119.07,
Frosted Guava Automatic,Frosted Guava Automatic,Zamnesia Seeds,480 watt,"PLAGRON.,Advanced Nutrients,",Manual,,Directly In Substrate,"LST,ScrOG,Topping,Defoliation,",1,11,1,34,14,578,210,780
Double Cookies Fem BSF Seed ll,Double Cookies,BSF Seeds,100 watt,"Top Crop,",Manual,"Soil Grow Medium,",Paper Towel,"12-12 Desde Crecimiento,12-12 From Seed,12-12 Desde Floración,",2,13,1,49,22,243,,147
MarsHydro Tropicanna Poison XL Auto,Tropicanna Poison XL Auto,Sweet Seeds,150 watt,,Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"LST,SoG,",0.2,13,,122,53,594,,72
Sour Tangie Dawg,TnT Trichome,Super Sativa Seed Club,600 watt,"BioBizz,Atami,Advanced Nutrients,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"SoG,Main-Lining,12-12 From Seed,",0.02,12,2,76,15,308,,140
Super Orange Haze automatic S1,Super Orange Haze,Custom Breeder & Strain,300 watt,"Hesi,",Manual,"Soil Grow Medium,",Glass Of Water,,,11,,11,5,71,,
Amnesia XXL auto Sensi Seeds,Sensi Amnesia XXL,Sensi Seeds,300 watt,,Manual,"Soil Grow Medium,",,"LST,",Green Box,14,,23,5,295,,
Northern lights auto seedsman,Northern Lights Auto,Seedsman,300 watt,"URB Natural,Plant Success (Plant Revolution),Down To Earth,Oregon’s Only (Nectar for the Gods),",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Perlite Grow Medium,",Peat Pellet,,,4,1,7,4,76,,
Fatkid's Cake x Granddaddy Purple,Amsterdam Genetics - Test Strain #2,Custom Breeder & Strain,310 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,ScrOG,",1,15,1,17,7,420,,500
Chunky Cookies X Black Cherry Gelato,Amsterdam Genetics - Test Fem #1,Custom Breeder & Strain,310 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,Defoliation,ScrOG,",1,15,1,15,15,401,,500
Hydro-Super Skunk,Super Skunk,White Label,400 watt,"General Hydroponics (GHE),",Hydroponics,"Mineral Wool Grow Medium,Expanded Clay Grow Medium,",Rockwool Cube,"Topping,Defoliation,",Custom,13,3,54,31,361,,
Bruce Banner 3,Bruce Banner 3,Zamnesia Seeds,600 watt,"BioBizz,Atami,Advanced Nutrients,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",,"SoG,",0.02,12,1,86,30,370,,60
GELATO #45 Barney's,Gelato #45,Barney'S Farm,600 watt,"BioBizz,Atami,Advanced Nutrients,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"SoG,",0.02,13,1,85,23,758,,70
@White wizard/northern lights autoflower,Auto Northern Lights,BulkSeedBank,250 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"LST,",0.5,7,1,4,8,326,54,122
Titan F1 RQS MARSHYDRO,Titan F1,Royal Queen Seeds,150 watt,,Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Rockwool Cube,"SoG,",0.2,10,1,197,107,3577,,300
